id,answer,time
1, เนื่องจากกองทุนมีผู้จัดการกองทุนที่เป็นผู้เชี่ยวชาญช่วยบริหาร,0.664313554763794
2, ส่งผลให้อัตราผลตอบแทนจากตราสารหนี้ลดลง,0.08552074432373047
3,ฉันมีโปรโมชั่นที่ทํางาน มันเป็นเวลานานแล้วตั้งแต่ฉันได้รับการเพิ่มขึ้น,1.2367043495178223
4,,0.07758259773254395
5, รายได้ที่เพิ่มขึ้น จากจำนวนและปริมาณการลงทุนของผู้ลงทุนที่เพิ่มขึ้น,0.04316902160644531
6, สูงสุด +30% ต่ำสุด -30% ของราคาปิดวันก่อนหน้า,0.06648802757263184
7,ฉันก็ไม่ยอดเยี่ยมเช่นกัน แต่ฉันพยายามที่จะดีขึ้น,0.6447980403900146
8, 2 รูปแบบใหญ่ๆ,0.044087886810302734
9,,0.0526738166809082
10,,0.042453765869140625
11, จะไม่ส่งมอบเมื่อมีการใช้สิทธิตามที่ได้สัญญาไว้,0.05211353302001953
12,,0.0416569709777832
13,,0.05037117004394531
14,,0.03899884223937988
15,,0.03591752052307129
16,,0.035877227783203125
17,,0.0436551570892334
18, 10,0.08136200904846191
19,,0.03455996513366699
20, สมาชิกสามารถขอใช้ระบบสำรองของตลาดฯ ได้,0.033876895904541016
21,ฉันเป็นคนเดียวในชั้นเรียนดังนั้นฉันรู้สึกแย่มากสําหรับนักเรียนคนอื่น ๆ,0.9217901229858398
22, ไม่ต้องมี,0.038785457611083984
23,,0.03577160835266113
24,,0.0346684455871582
25, *,0.0708014965057373
26,ฉันคิดว่าฉันจะไปเดินในสวน มันเป็นเวลานานแล้วตั้งแต่ฉันไปถึงที่นั่น,0.8375155925750732
27,,0.03690505027770996
28,,0.03633451461791992
29,,0.04364204406738281
30,คิดว่าค่ะ แต่ไม่แน่ใจค่ะ ต้องตรวจสอบตลาดสต็อกนะคะ,0.7109396457672119
